Index,X,Y,Z,Stem X,Stem Y,Stem Z,Radius,Parent
,,,,,,,,
panda_link3.004,,,,,,,,
CLIP,95.59741616249084,24.70489963889122,172.28764295578003,,,,0.1,/panda/panda_link3/geometry/panda_link3
1,149.7264802455902,75.694240629673,129.3177306652069,136.34003698825836,72.85343110561371,124.78387355804443,0.030935777351260185,/panda/panda_link3/geometry/panda_link3
2,82.80663192272186,124.64717775583267,140.08857309818268,83.35121721029282,112.10019886493683,135.07145643234253,0.029021158814430237,/panda/panda_link3/geometry/panda_link3
3,38.482122123241425,107.31378942728043,77.74251699447632,46.068646013736725,98.74417632818222,83.44604820013046,0.02744131349027157,/panda/panda_link3/geometry/panda_link3
4,102.137491106987,86.59647405147552,45.81540822982788,99.58252310752869,83.2388773560524,57.88697302341461,0.02744131349027157,/panda/panda_link3/geometry/panda_link3
5,-23.76958541572094,64.94900584220886,46.37238383293152,-19.11471225321293,53.260594606399536,44.496774673461914,0.027296679094433784,/panda/panda_link3/geometry/panda_link3
6,-35.22975370287895,-57.8693151473999,51.96108669042587,-28.496377170085907,-47.948602586984634,49.88072067499161,0.02611393854022026,/panda/panda_link3/geometry/panda_link3
7,-66.87714904546738,5.109949503093958,48.30877482891083,-54.884172976017,4.497203975915909,46.339042484760284,0.02611393854022026,/panda/panda_link3/geometry/panda_link3
CLIP,92.3745334148407,51.11610144376755,170.1248288154602,,,,0.1,/panda/panda_link3/geometry/panda_link3
,,,,,,,,
panda_link4.004,,,,,,,,
CLIP,2.0070159807801247,-66.2296712398529,-154.37036752700806,,,,0.1,/panda/panda_link4/geometry/panda_link4
8,-12.52856757491827,-98.26141595840454,-139.4651234149933,-6.16393331438303,-94.29570287466049,-135.7593834400177,0.017580244690179825,/panda/panda_link4/geometry/panda_link4
9,39.433740079402924,-125.34819543361664,-138.93571496009827,39.60594907402992,-117.81780421733856,-135.93271374702454,0.017042700201272964,/panda/panda_link4/geometry/panda_link4
10,-12.632734142243862,-98.7425446510315,-75.63121616840363,-6.823393516242504,-93.56887638568878,-80.37588745355606,0.019150743260979652,/panda/panda_link4/geometry/panda_link4
11,58.67277458310127,-125.11758506298065,-85.48416197299957,56.73886835575104,-117.59687215089798,-87.8194198012352,0.017042700201272964,/panda/panda_link4/geometry/panda_link4
12,-87.85863220691681,-53.73622849583626,-43.39548945426941,-81.02856576442719,-45.48773169517517,-41.80346801877022,0.022755179554224014,/panda/panda_link4/geometry/panda_link4
13,-110.4608029127121,18.63085851073265,-41.058897972106934,-102.15578228235245,16.466688364744186,-39.83581066131592,0.01822000928223133,/panda/panda_link4/geometry/panda_link4
14,-71.17166370153427,64.93449211120605,-40.121838450431824,-67.98209995031357,56.96409195661545,-38.9166995882988,0.01822000928223133,/panda/panda_link4/geometry/panda_link4
CLIP,17.387820407748222,-65.29710441827774,-164.09727931022644,,,,0.1,/panda/panda_link4/geometry/panda_link4
,,,,,,,,
panda_link5.002,,,,,,,,
CLIP,15.209604986011982,145.20826935768127,40.12217000126839,,,,0.1,/panda/panda_link5/geometry/panda_link5
15,-15.5657222494483,103.10369729995728,67.55194813013077,-12.525890953838825,99.74633902311325,51.33339762687683,0.026918798685073853,/panda/panda_link5/geometry/panda_link5
16,-16.35485514998436,35.8419194817543,69.58095729351044,-13.490756042301655,36.23678535223007,54.75970730185509,0.024139737710356712,/panda/panda_link5/geometry/panda_link5
17,-6.5791006200015545,-23.7069483846426,68.94049048423767,-5.5552637204527855,-23.432472720742226,53.912557661533356,0.02408323809504509,/panda/panda_link5/geometry/panda_link5
18,-6.7264363169670105,-83.73847603797913,73.54578375816345,-5.778662860393524,-83.83399248123169,58.510661125183105,0.02408323809504509,/panda/panda_link5/geometry/panda_link5
19,58.187857270240784,-112.2172623872757,34.341175109148026,43.251410126686096,-106.1226949095726,28.069209307432175,0.027668995782732964,/panda/panda_link5/geometry/panda_link5
20,-2.16077221557498,-140.55800437927246,52.771542221307755,-1.7418564530089498,-129.24368679523468,42.65866056084633,0.024268081411719322,/panda/panda_link5/geometry/panda_link5
CLIP,24.914944544434547,144.8652148246765,37.19165176153183,,,,0.1,/panda/panda_link5/geometry/panda_link5
