SensorNum,RelX,RelY,RelZ,Radius,path
0,0,0,0,0.6,/Ant/Sphere
1,0,0,0,0.12,/Ant/Arm_01/Upper_Arm
2,0,0,0,0.12,/Ant/Arm_02/Upper_Arm
3,0,0,0,0.12,/Ant/Arm_03/Upper_Arm
4,0,0,0,0.12,/Ant/Arm_04/Upper_Arm
5,40,0,0,0.12,/Ant/Arm_01/Lower_Arm
6,40,0,0,0.12,/Ant/Arm_02/Lower_Arm
7,40,0,0,0.12,/Ant/Arm_03/Lower_Arm
8,40,0,0,0.12,/Ant/Arm_04/Lower_Arm
9,-30,0,0,0.12,/Ant/Arm_01/Upper_Arm
10,-30,0,0,0.12,/Ant/Arm_02/Upper_Arm
11,-30,0,0,0.12,/Ant/Arm_03/Upper_Arm
12,-30,0,0,0.12,/Ant/Arm_04/Upper_Arm
13,-30,0,0,0.12,/Ant/Arm_01/Lower_Arm
14,-30,0,0,0.12,/Ant/Arm_02/Lower_Arm
15,-30,0,0,0.12,/Ant/Arm_03/Lower_Arm
16,-30,0,0,0.12,/Ant/Arm_04/Lower_Arm
17,-20,0,0,0.12,/Ant/Arm_01/Upper_Arm
18,-20,0,0,0.12,/Ant/Arm_02/Upper_Arm
19,-20,0,0,0.12,/Ant/Arm_03/Upper_Arm
20,-20,0,0,0.12,/Ant/Arm_04/Upper_Arm
21,-20,0,0,0.12,/Ant/Arm_01/Lower_Arm
22,-20,0,0,0.12,/Ant/Arm_02/Lower_Arm
23,-20,0,0,0.12,/Ant/Arm_03/Lower_Arm
24,-20,0,0,0.12,/Ant/Arm_04/Lower_Arm
25,-10,0,0,0.12,/Ant/Arm_01/Upper_Arm
26,-10,0,0,0.12,/Ant/Arm_02/Upper_Arm
27,-10,0,0,0.12,/Ant/Arm_03/Upper_Arm
28,-10,0,0,0.12,/Ant/Arm_04/Upper_Arm
29,-10,0,0,0.12,/Ant/Arm_01/Lower_Arm
30,-10,0,0,0.12,/Ant/Arm_02/Lower_Arm
31,-10,0,0,0.12,/Ant/Arm_03/Lower_Arm
32,-10,0,0,0.12,/Ant/Arm_04/Lower_Arm
33,30,0,0,0.12,/Ant/Arm_01/Upper_Arm
34,30,0,0,0.12,/Ant/Arm_02/Upper_Arm
35,30,0,0,0.12,/Ant/Arm_03/Upper_Arm
36,30,0,0,0.12,/Ant/Arm_04/Upper_Arm
37,30,0,0,0.12,/Ant/Arm_01/Lower_Arm
38,30,0,0,0.12,/Ant/Arm_02/Lower_Arm
39,30,0,0,0.12,/Ant/Arm_03/Lower_Arm
40,30,0,0,0.12,/Ant/Arm_04/Lower_Arm
41,20,0,0,0.12,/Ant/Arm_01/Upper_Arm
42,20,0,0,0.12,/Ant/Arm_02/Upper_Arm
43,20,0,0,0.12,/Ant/Arm_03/Upper_Arm
44,20,0,0,0.12,/Ant/Arm_04/Upper_Arm
45,20,0,0,0.12,/Ant/Arm_01/Lower_Arm
46,20,0,0,0.12,/Ant/Arm_02/Lower_Arm
47,20,0,0,0.12,/Ant/Arm_03/Lower_Arm
48,20,0,0,0.12,/Ant/Arm_04/Lower_Arm
49,10,0,0,0.12,/Ant/Arm_01/Upper_Arm
50,10,0,0,0.12,/Ant/Arm_02/Upper_Arm
51,10,0,0,0.12,/Ant/Arm_03/Upper_Arm
52,10,0,0,0.12,/Ant/Arm_04/Upper_Arm
53,10,0,0,0.12,/Ant/Arm_01/Lower_Arm
54,10,0,0,0.12,/Ant/Arm_02/Lower_Arm
55,10,0,0,0.12,/Ant/Arm_03/Lower_Arm
56,10,0,0,0.12,/Ant/Arm_04/Lower_Arm
57,0,0,0,0.12,/Ant/Arm_01/Lower_Arm
58,0,0,0,0.12,/Ant/Arm_02/Lower_Arm
59,0,0,0,0.12,/Ant/Arm_03/Lower_Arm
60,0,0,0,0.12,/Ant/Arm_04/Lower_Arm
